OBJECTID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,UNIT_ID,START_DATE,END_DATE,AGENCY,TREATED_AC,GIS_ACRES,STATE,YEAR_,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,Shape_Length,Shape_Area
"1","3277604",NON_WUI,"13",SQF,"20060000","20060415",USF,136.388877927313,136.38883972168,CA,"2006",,,,7391.27096428518,551946.031244762
"2","3277608",NON_WUI,"15",SQF,"20060000","20060703",USF,292.127163005734,292.126647949219,CA,"2006",,,,17166.8481061323,1182194.60961248
"3","3277612",SOUTHRIDGE 1-1 CHIP,"5",BDF,"20060000","20060201",USF,4.72693873703807,4.72695350646973,CA,"2006",,,,880.091816354284,19129.3016328436
"4","3277613",SOUTHRIDGE UNIT 5 CUT AND STACK,"9",BDF,"20060000","20060301",USF,22.7427755682449,22.7428436279297,CA,"2006",,,,1623.89602630451,92037.0206654645
"5","3277840",HIGHWAY 20 CUT & PILING (06),"9",TNF,"20060000","20060915",USF,106.348339270221,106.347381591797,CA,"2006",,,,3002.27979472006,430372.5698334
"6","3266945",NON_WUI,"9",SQF,"20060000","20060630",USF,300.111712743804,300.110626220703,CA,"2006",,,,17313.0005051142,1214504.65809015
"7","3266963",DEFENSE_THREAT,"9",SQF,"20060000","20061215",USF,74.4237926386597,74.424690246582,CA,"2006",,,,9843.27099233973,301186.050655958
"8","3266967",DEFENSE_THREAT,"5",SQF,"20050000","20051215",USF,104.744520047798,104.744186401367,CA,"2006",,,,44559.1844112691,423884.691334149
"9","3268764",TORO DFPZ GRAPPLE PILE (06/05),"13",TNF,,"20051001",USF,184.149465823377,184.149322509766,CA,"2006",,,,11618.2201711564,745225.877783546
"10","3268765",TORO DFPZ GRAPPLE PILE (06/05),"13",TNF,,"20051001",USF,628.627782778152,628.628845214844,CA,"2006",,,,33570.2570495062,2543970.58669499
"11","0000000003268917", ,"17",SNF,,"20051001",USF,498.817350502957,498.817077636719,CA,"2006",,,,44473.2874417156,2018641.05941889
"12","3269178",SAILOR LOMA MASTICATION,"15",TNF,"20060000","20060929",USF,101.198099676852,101.197998046875,CA,"2006",,,,7255.17328844402,409533.759178813
"13","3269425",MASTERSON WUI,"17",KNF,,"20051208",USF,38.991252001301,38.9913520812988,CA,"2006",,,,2089.56673139374,157792.397710881
"14","3269431",MASTERSON WUI HP,"9",KNF,,"20051208",USF,38.991252001301,38.9913520812988,CA,"2006",,,,2089.56673139374,157792.397710881
"15","3269604",SHREDDING 5 YR CONTRACT - PART4,"15",STF,"20060000","20060615",USF,47.9457149463473,47.9459266662598,CA,"2006",,,,2303.84136509356,194030.283222174
"16","3277404",IDYLLWILD WEST UNIT 8 THIN,"17",BDF,"20060000","20060601",USF,63.928005183599,63.9272727966309,CA,"2006",,,,3566.05082383566,258704.491751893
"17","3277405",IDYLLWILD WEST UNIT 8 CHIP,"5",BDF,"20060000","20060601",USF,63.928005183599,63.9272727966309,CA,"2006",,,,3566.05082383566,258704.491751893
"18","3277406",IDYLLWILD WEST UNIT 14 BIG TREES,"2",BDF,"20060000","20060601",USF,52.8071573897558,52.8073844909668,CA,"2006",,,,2665.8724704877,213703.902008781
"19","3277407",IDYLLWILD WEST UNIT 14 THIN,"17",BDF,"20060000","20060601",USF,52.8071573897558,52.8073844909668,CA,"2006",,,,2665.8724704877,213703.902008781
"20","3277408",IDYLLWILD WEST UNIT 14 CHIP,"5",BDF,"20060000","20060601",USF,52.8071573897558,52.8073844909668,CA,"2006",,,,2665.8724704877,213703.902008781
"21","3277409",IDYLLWILD WEST UNIT 8 MASTICATE,"15",BDF,"20060000","20060601",USF,63.928005183599,63.9272727966309,CA,"2006",,,,3566.05082383566,258704.491751893
"22","3277573",THREAT,"15",SQF,"20060000","20060630",USF,99.0912690042141,99.0917358398438,CA,"2006",,,,3008.69564056836,401010.024279379
"23","3277585",NON_WUI,"13",SQF,"20060000","20060703",USF,2.39402327270643,2.39400339126587,CA,"2006",,,,866.337585473389,9688.18808033074
"24","3277586",THREAT,"15",SQF,"20060000","20060703",USF,132.774923010773,132.77458190918,CA,"2006",,,,3875.46419387841,537319.660223154
"25","3277588",THREAT,"9",SQF,"20060000","20060703",USF,32.2923965941983,32.2923851013184,CA,"2006",,,,3262.63471633815,130682.641114537
"26","3277589",THREAT,"13",SQF,"20060000","20060703",USF,32.3372573199341,32.3371162414551,CA,"2006",,,,6582.07712447662,130863.667108519
"27","3277590",THREAT,"15",SQF,"20060000","20060703",USF,270.511387220168,270.512786865234,CA,"2006",,,,11590.0555250612,1094726.42261849
"28","3277593",THREAT,"13",SQF,"20060000","20060703",USF,17.304150233185,17.3039646148682,CA,"2006",,,,2237.56756746586,70026.659469984
"29","3277594",NON_WUI,"15",SQF,"20060000","20060703",USF,156.247802935734,156.247314453125,CA,"2006",,,,10773.68748975,632310.466303521
"30","0000000003248599",SALYER/HAWKINS BAR CP THIN (06),"17",SRF,"20060000","20060930",USF,20.5012687527976,20.5012264251709,CA,"2006",,,,2940.37876245342,82965.5186927796
"31","0000000003248600",SALYER/HAWKINS BAR CP HP (06),"9",SRF,"20060000","20060601",USF,20.5012687527976,20.5012264251709,CA,"2006",,,,2940.37876245342,82965.5186927796
"32","0000000003250163",06 LITTLE STONY THIN,"17",MNF,"20060000","20060905",USF,24.8950924376359,24.8947792053223,CA,"2006",,,,2253.25134503215,100745.600774439
"33","0000000003250343",06 BOARD CAMP THIN,"17",MNF,"20060000","20060516",USF,249.983460090919,249.983779907227,CA,"2006",,,,5507.29085174144,1011648.45245054
"34","0000000003251091",DEFENSE_THREAT,"9",SQF,"20060000","20060802",USF,1094.9242021401,1094.92199707031,CA,"2006",,,,20471.2537439136,4430992.26965732
"35","3251623",SBM THIN 06,"17",KNF,,"20051205",USF,101.562902103256,101.562522888184,CA,"2006",,,,7866.82660503084,411008.956572897
"36","3251632",SBM HP 06,"9",KNF,,"20051205",USF,101.562902103256,101.562522888184,CA,"2006",,,,7866.82660503084,411008.956572897
"37","3251666",DEFENSE_THREAT,"9",SQF,"20060000","20060730",USF,10.1955820286517,10.1956262588501,CA,"2006",,,,1831.29558112754,41260.2359751253
"38","3251784",NON-WUI,"6",SQF,"20060000","20060730",USF,57.2049919489937,57.2051544189453,CA,"2006",,,,5955.35072238609,231501.041887932
"48","0000000003058687",06-MRD ADMIN SITES HAND PILE,"9",LPF,"20060000","20060901",USF,116.97239696236,116.974082946777,CA,"2006",,,,7025.87814123771,473377.314796344
"49","0000000003077264",WITCHER THINNING,"17",INF,"20060000","20060912",USF,119.439185472697,119.439376831055,CA,"2006",,"3","2",3870.56642078018,483354.022127776
"50","0000000003106274",BIOMASS FY06,"2",STF,"20060000","20060519",USF,304.735787121744,304.735473632812,CA,"2006",,,,15526.6354678087,1233220.65314259
"51","0000000003109358",DEFENSE/THREAT,"9",SQF,"20050000","20051215",USF,74.9542175478704,74.9544067382812,CA,"2006",,,,3452.73980116275,303329.727939818
"52","3277601",THREAT,"17",SQF,"20060000","20060703",USF,261.091372466662,261.090515136719,CA,"2006",,,,16139.656167942,1056595.88748799
"53","3277602",NON_WUI,"13",SQF,"20060000","20060703",USF,37.5619975603845,37.5618667602539,CA,"2006",,,,4006.50325789126,152007.481411072
"54","0000090084100701",BIG NASTY RX,"1",BNP,"20061024","20061026",NPS,5189,5191.81494140625,CA,"2006","2",,,26000.3976003966,21010530.3064125
"64","1996000000000004",CENTINELA,"1",CNP,"19961106","19961106",NPS,15,15.1051454544067,CA,"1996","2",,,1215.89200192551,61128.3559766214
"66","1996000000000002",PORTEZUELA,"1",CNP,"19961107","19961107",NPS,77,76.8958206176758,CA,"1996","2",,,2287.69164516816,311186.356797447
"70","6267616",BEAL/VINCENT FB06 HERB,"4",SNF,,"20060619",USF,38.5984421032071,38.5981750488281,CA,"2006",,,,6422.71829397581,156201.27810941
